x,y,name,area
-0.0188774,51.5897128,Hawthorne Rd,blackhorse_village
-0.019666,51.5893628,Gaywood Rd,blackhorse_village
-0.020366,51.5889479,Ruby Rd,blackhorse_village
-0.0210017,51.588388,Jewel Rd,blackhorse_village
-0.0227237,51.5878164,Greenleaf Rd,blackhorse_village
-0.0236973,51.5864965,Westbury Rd,blackhorse_village
-0.0237349,51.5864398,Hatherley Rd,blackhorse_village
-0.0266343,51.5874197,Erskine Rd,blackhorse_village
-0.0354481,51.5861865,Stoneydown Avenue (bridge Closure),blackhorse_village
-0.0290551,51.5875188,Coleridge Rd,blackhorse_village
-0.0344932,51.5860099,Ritchings Ave,blackhorse_village
-0.0342143,51.5859499,Suffolk Park Rd (bridge closure),blackhorse_village
-0.0323474,51.5863282,Suffolk Park Rd,blackhorse_village
-0.0234184,51.5854099,Somers Rd,blackhorse_village
-0.0293326,51.5855732,Northcote Rd,blackhorse_village
-0.0359523,51.5863032,Pretoria Ave,blackhorse_village
-0.021109,51.5851632,Cleveland Park Ave,blackhorse_village
-0.03187,51.567864,Kettlebaston Rd,lea_valley
-0.032106,51.5679041,Belvedere Rd,lea_valley
-0.0330824,51.5675406,Sanderstead Rd,lea_valley
-0.0226378,51.5713417,Avondale Rd,lea_valley
0.0032052,51.5545109,Langthorne Rd,leyton_town_centre
-0.008744,51.5578029,York Rd,leyton_town_centre
-0.0048575,51.5584866,Langthorne Rd,leyton_town_centre
0.002135,51.5660317,Richmond Rd,leyton_town_centre
0.014154,51.5702608,Browning Rd,leytonstone_town_centre
-0.0040501,51.5677273,Norlington Rd,leytonstone_town_centre
-0.0135478,51.5627971,Rosedene Terrace,leytonstone_town_centre
-0.014559,51.5835033,East Avenue,walthamstow_village
-0.0159001,51.5833633,West Avenue,walthamstow_village
-0.0113122,51.5807774,Grosvenor Rise East,walthamstow_village
-0.0123838,51.5825061,Eden Rd,walthamstow_village
-0.0108656,51.5790848,Grove Rd,walthamstow_village
-0.0109823,51.577197,Copeland Rd,walthamstow_village
-0.0060189,51.5790498,Shernhall St,walthamstow_village
-0.0113418,51.5805732,Eden Rd - (The Castle Pub),walthamstow_village
-0.0161791,51.5857565,Aubrey Rd,walthamstow_village
-0.0196123,51.5862965,Cairo Rd,walthamstow_village
-0.0123972,51.5858699,Church Hill,walthamstow_village
-0.0037229,51.5851032,Barrett Rd,walthamstow_village
-0.0043559,51.5827499,Greville Rd,walthamstow_village
-0.0123972,51.5858699,Church Hill Rd,walthamstow_village
-0.0161791,51.5857565,Aubrey Rd,walthamstow_village
-0.000397,51.5838166,Roland Rd,walthamstow_village
-0.0113779,51.5766411,Poplars Rd,walthamstow_village
